case,mode,rep,np,omp_threads,start,end,exit,log,controlDict,expected_iterations,log_exists,bad_markers,end_main,real,user,sys,iterations,collisions,candidates,particles,stuck,total_energy,move_collide,move,build_occ,collision_phase,post,full_evolve,openmp_enabled,openmp_threads,migration_calls,migration_wall,dlb_checks,dlb_rebalances,dlb_triggered,dlb_wall_max,dlb_check_max,parmetis_max,dlb_migration_max,particles_rank_min,particles_rank_max,particles_rank_ratio,rank_wall_steps,rank_wall_min,rank_wall_max,rank_wall_ratio,correctness_ok
ourmesh,OMP8,1,1,8,2026-06-18T00:18:38+08:00,2026-06-18T00:19:40+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_OMP8_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_OMP8_rep1_controlDict,500,True,,True,62.27,457.22,4.66,500,35674,68760,2463653,0,1.243053142,55.69083178,46.42610182,5.966254207,2.792386655,0.607035792,56.30082252,1,8,,,,,,,,,,,,,,,,,True
ourmesh,MPI2xOMP4,1,2,4,2026-06-18T00:19:41+08:00,2026-06-18T00:20:48+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI2xOMP4_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI2xOMP4_rep1_controlDict,500,True,,True,67.77,488.48,9.12,500,7526,12909,2463725,0,1.243194582,60.96346361,50.42208199,7.232205706,3.225667006,0.669959972,61.60213755,1,4,51,0.85941756,500,0,0,0.011122592,0.011122592,0.0,0.0,1134662.0,1321661.0,1.164805907,500,194.02,237.52,1.22420369,True
ourmesh,MPI4xOMP2,1,4,2,2026-06-18T00:20:48+08:00,2026-06-18T00:21:55+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI4xOMP2_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI4xOMP2_rep1_controlDict,500,True,,True,66.12,484.32,13.45,500,4036,7072,2463683,0,1.242781492,58.0856074,48.17883588,6.308958166,3.06344816,0.727678343,58.78808036,1,2,52,1.100330005,500,1,1,1.428152826,0.98635107,0.127834661,0.347040572,557227.0,652349.0,1.170706014,500,97.9,112.43,1.148416752,True
ourmesh,MPI8,1,8,1,2026-06-18T00:21:55+08:00,2026-06-18T00:23:20+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI8_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI8_rep1_controlDict,500,True,,True,85.29,632.13,46.2,500,610,907,2463609,0,1.242699402,74.68499506,61.11803396,10.90205582,5.373466479,0.923572232,75.59506447,0,1,52,2.695481184,500,1,1,1.271963541,1.079539586,0.085298814,0.157478686,273977.0,404827.0,1.477594835,500,50.19,72.8,1.450488145,True
ourmesh,MPI8origin,1,8,1,2026-06-18T00:23:20+08:00,2026-06-18T00:25:26+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI8origin_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI8origin_rep1_controlDict,500,True,,True,125.73,913.32,88.35,500,35529,68241,2463762,0,1.243377237,125.165323,108.446097,15.00836349,11.35731182,0.454574061,125.5769372,0,1,,,,,,,,,,,,,,,,,True
ourmesh,OMP8,2,1,8,2026-06-18T00:25:26+08:00,2026-06-18T00:26:31+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_OMP8_rep2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_OMP8_rep2_controlDict,500,True,,True,64.58,482.59,4.73,500,35390,68685,2463664,0,1.242996145,58.75303904,49.13118175,6.296905383,2.80861646,0.619244945,59.3752733,1,8,,,,,,,,,,,,,,,,,True
ourmesh,MPI2xOMP4,2,2,4,2026-06-18T00:26:31+08:00,2026-06-18T00:27:38+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI2xOMP4_rep2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI2xOMP4_rep2_controlDict,500,True,,True,67.15,485.43,8.55,500,7659,12948,2463693,0,1.243119569,60.591856,49.76456056,7.459400335,3.22098378,0.668160979,61.23461014,1,4,51,0.896913969,500,0,0,0.011145547,0.011145547,0.0,0.0,1134726.0,1321690.0,1.164765767,500,192.4,236.02,1.226715177,True
ourmesh,MPI4xOMP2,2,4,2,2026-06-18T00:27:38+08:00,2026-06-18T00:28:43+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI4xOMP2_rep2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI4xOMP2_rep2_controlDict,500,True,,True,64.95,478.95,12.53,500,4107,7097,2463724,0,1.242795581,57.51593876,47.69569522,6.365211628,3.045552319,0.717467145,58.21646488,1,2,52,0.977561313,500,1,1,1.228127114,0.933668116,0.135701379,0.207825588,557445.0,652458.0,1.170443721,500,96.47,111.3,1.153726547,True
ourmesh,MPI8,2,8,1,2026-06-18T00:28:43+08:00,2026-06-18T00:30:07+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI8_rep2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI8_rep2_controlDict,500,True,,True,83.87,626.84,40.89,500,590,878,2463591,0,1.242794895,74.21310994,60.0903079,9.987552571,4.962365624,0.953443218,75.11626636,0,1,52,2.515787205,500,1,1,1.233018813,1.08115879,0.058397477,0.125259199,273922.0,372795.0,1.360953118,500,55.33,71.65,1.294957528,True
ourmesh,MPI8origin,2,8,1,2026-06-18T00:30:07+08:00,2026-06-18T00:32:14+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI8origin_rep2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI8origin_rep2_controlDict,500,True,,True,126.5,920.34,87.77,500,35320,68220,2463631,0,1.243315103,125.9663093,108.9850407,15.24287422,11.49555248,0.473102931,126.4146397,0,1,,,,,,,,,,,,,,,,,True
