case	mode	rep	np	omp_threads	start	end	exit	log	controlDict
ourmesh	OMP8	1	1	8	2026-06-18T00:18:38+08:00	2026-06-18T00:19:40+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_OMP8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_OMP8_rep1_controlDict
ourmesh	MPI2xOMP4	1	2	4	2026-06-18T00:19:41+08:00	2026-06-18T00:20:48+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI2xOMP4_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI2xOMP4_rep1_controlDict
ourmesh	MPI4xOMP2	1	4	2	2026-06-18T00:20:48+08:00	2026-06-18T00:21:55+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI4xOMP2_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI4xOMP2_rep1_controlDict
ourmesh	MPI8	1	8	1	2026-06-18T00:21:55+08:00	2026-06-18T00:23:20+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI8_rep1_controlDict
ourmesh	MPI8origin	1	8	1	2026-06-18T00:23:20+08:00	2026-06-18T00:25:26+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI8origin_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI8origin_rep1_controlDict
ourmesh	OMP8	2	1	8	2026-06-18T00:25:26+08:00	2026-06-18T00:26:31+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_OMP8_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_OMP8_rep2_controlDict
ourmesh	MPI2xOMP4	2	2	4	2026-06-18T00:26:31+08:00	2026-06-18T00:27:38+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI2xOMP4_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI2xOMP4_rep2_controlDict
ourmesh	MPI4xOMP2	2	4	2	2026-06-18T00:27:38+08:00	2026-06-18T00:28:43+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI4xOMP2_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI4xOMP2_rep2_controlDict
ourmesh	MPI8	2	8	1	2026-06-18T00:28:43+08:00	2026-06-18T00:30:07+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI8_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI8_rep2_controlDict
ourmesh	MPI8origin	2	8	1	2026-06-18T00:30:07+08:00	2026-06-18T00:32:14+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/logs/ourmesh_MPI8origin_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/ourmesh_full_series_current_mpi8cfg_repeat3_20260618/controlDicts/ourmesh_MPI8origin_rep2_controlDict
