case	mode	rep	np	omp_threads	start	end	exit	log	controlDict
ourmesh	OMP8	1	1	8	2026-06-10T02:23:27+08:00	2026-06-10T02:23:33+08:00	136	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/logs/ourmesh_OMP8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/controlDicts/ourmesh_OMP8_rep1_controlDict
ourmesh	MPI2xOMP4	1	2	4	2026-06-10T02:23:33+08:00	2026-06-10T02:23:43+08:00	255	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/logs/ourmesh_MPI2xOMP4_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/controlDicts/ourmesh_MPI2xOMP4_rep1_controlDict
ourmesh	MPI4xOMP2	1	4	2	2026-06-10T02:23:43+08:00	2026-06-10T02:24:01+08:00	255	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/logs/ourmesh_MPI4xOMP2_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/controlDicts/ourmesh_MPI4xOMP2_rep1_controlDict
ourmesh	MPI8	1	8	1	2026-06-10T02:24:01+08:00	2026-06-10T02:24:36+08:00	255	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/logs/ourmesh_MPI8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/controlDicts/ourmesh_MPI8_rep1_controlDict
zb	OMP8	1	1	8	2026-06-10T02:24:36+08:00	2026-06-10T02:24:40+08:00	136	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/logs/zb_OMP8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/controlDicts/zb_OMP8_rep1_controlDict
zb	MPI2xOMP4	1	2	4	2026-06-10T02:24:40+08:00	2026-06-10T02:24:47+08:00	255	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/logs/zb_MPI2xOMP4_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/controlDicts/zb_MPI2xOMP4_rep1_controlDict
zb	MPI4xOMP2	1	4	2	2026-06-10T02:24:47+08:00	2026-06-10T02:25:00+08:00	255	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/logs/zb_MPI4xOMP2_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/controlDicts/zb_MPI4xOMP2_rep1_controlDict
zb	MPI8	1	8	1	2026-06-10T02:25:00+08:00	2026-06-10T02:25:23+08:00	255	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/logs/zb_MPI8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/controlDicts/zb_MPI8_rep1_controlDict
ourmesh	OMP8	2	1	8	2026-06-10T02:25:23+08:00	2026-06-10T02:25:29+08:00	136	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/logs/ourmesh_OMP8_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/controlDicts/ourmesh_OMP8_rep2_controlDict
ourmesh	MPI2xOMP4	2	2	4	2026-06-10T02:25:29+08:00	2026-06-10T02:25:39+08:00	255	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/logs/ourmesh_MPI2xOMP4_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610/controlDicts/ourmesh_MPI2xOMP4_rep2_controlDict
