case,mode,runs,ok_runs,real_mean,real_stdev,real_min,real_max,full_evolve_mean,full_evolve_stdev,full_evolve_min,full_evolve_max,move_collide_mean,move_collide_stdev,move_collide_min,move_collide_max,move_mean,move_stdev,move_min,move_max,build_occ_mean,build_occ_stdev,build_occ_min,build_occ_max,collision_phase_mean,collision_phase_stdev,collision_phase_min,collision_phase_max,post_mean,post_stdev,post_min,post_max,particles_mean,particles_stdev,particles_min,particles_max,collisions_mean,collisions_stdev,collisions_min,collisions_max,candidates_mean,candidates_stdev,candidates_min,candidates_max,total_energy_mean,total_energy_stdev,total_energy_min,total_energy_max,migration_wall_mean,migration_wall_stdev,migration_wall_min,migration_wall_max,particles_rank_ratio_mean,particles_rank_ratio_stdev,particles_rank_ratio_min,particles_rank_ratio_max,rank_wall_ratio_mean,rank_wall_ratio_stdev,rank_wall_ratio_min,rank_wall_ratio_max,dlb_rebalances_mean,dlb_rebalances_stdev,dlb_rebalances_min,dlb_rebalances_max,dlb_triggered_mean,dlb_triggered_stdev,dlb_triggered_min,dlb_triggered_max
ourmesh,OMP8,3,3,62.223333333333336,1.6037560080427875,61.1,64.06,60.456926646666666,1.6127332478002236,59.22725574,62.28289406,59.80732811666667,1.597553048077449,58.58108834,61.61394193,49.114572546666665,1.4285971402575643,47.74108455,50.59254207,6.624516621666666,0.3120476365649868,6.268423978,6.85023106,3.520291298666667,0.10445666463808842,3.408421375,3.615277956,0.6462302433333333,0.01789082780616456,0.630372192,0.665625453,2463611.3333333335,68.06124692755293,2463545,2463681,35591,78.24960063795854,35533,35680,68785.66666666667,155.9497782407315,68606,68886,1.2429850576666666,0.00013465863510500007,1.242834606,1.243094286,,,,,,,,,,,,,,,,,,,,
ourmesh,MPI2xOMP4,3,3,70.30333333333333,1.4753417683144965,68.6,71.18,68.12185170333333,1.0031202567125708,67.15342865,69.15639753,67.06164905666667,1.0178351225007558,66.08019966,68.1123346,54.40842934333333,0.7780871980702458,53.53334924,55.0223094,7.539116746333333,0.2280113039599296,7.339089045,7.787389977,16.873857883333333,0.9401910349023413,15.79927898,17.54501039,1.0705602943333334,0.01376809646066296,1.054984938,1.081107807,2463726.3333333335,63.846169292552965,2463659,2463786,35550,173.49063375294932,35353,35680,68585.66666666667,150.99779247834496,68472,68757,1.2431112053333333,9.16867321826445e-05,1.243011452,1.243191797,1.0487337633333333,0.03636011394184486,1.017768599,1.088770914,1.1623076906666667,0.001880347392804226,1.160191042,1.163785008,1.0005185666666667,0.00030822374141897536,1.000165796,1.000735775,2.6666666666666665,0.5773502691896257,2,3,2.6666666666666665,0.5773502691896257,2,3
ourmesh,MPI4xOMP2,3,3,70.1,1.4855302083767907,68.42,71.24,67.91350928333334,0.5857579296315448,67.52416924,68.58716062,65.71729495666666,0.553298481161425,65.31565528,66.34840933,51.95313216,0.47590123381127325,51.42542068,52.3497374,6.844563091,0.5714148287280196,6.252322504,7.392582614,12.671069867666667,3.9241218026345632,9.219822463,16.93940874,2.202991326,0.03654257455556055,2.162546934,2.233632165,2463860,75.17978451685,2463788,2463938,35614.333333333336,17.009801096230763,35597,35631,68353,221.60324907365415,68107,68537,1.242577792,0.00020964804548339282,1.242390842,1.242804457,1.5296329543333334,0.5947676563720853,1.175542016,2.216299136,1.2190012736666667,0.019996369370576257,1.196291805,1.233970536,1.0017756343333333,0.0002700118059203004,1.001582674,1.002084202,2.3333333333333335,0.5773502691896257,2,3,2.3333333333333335,0.5773502691896257,2,3
ourmesh,MPI8,3,3,101.44666666666667,1.4300466192867043,100.01,102.87,98.62941978666666,1.9705182919196094,96.44670989,100.2773495,93.69397064666667,1.9258477784796544,91.56054104,95.30405296,69.07079124666667,2.290977485886798,66.64579753,71.19878357,10.613060863333333,0.8614015594177725,10.06444489,11.60589375,32.79855803666667,4.493919576668447,27.79858604,36.50084316,5.003582747,0.06434861529183594,4.946892883,5.073526222,2463795.6666666665,29.022979401386987,2463776,2463829,35100.666666666664,336.9292705202879,34712,35310,67263.66666666667,1043.8775470970402,66086,68075,1.242165485,0.0003313804610956979,1.241787121,1.242404099,2.9615137363333335,0.407117690482539,2.495460174,3.247835655,1.318106046,0.15240097182345477,1.189403088,1.486393648,1.0029606503333333,0.00039788208522666433,1.002559628,1.003355316,2.6666666666666665,0.5773502691896257,2,3,2.6666666666666665,0.5773502691896257,2,3
ourmesh,MPI8origin,3,3,135.07,2.311644436326663,132.44,136.78,144.2707072,0.6476352735342077,143.5980908,144.8900734,143.80875433333333,0.6414602453669337,143.1450017,144.4253157,117.46934933333334,0.6660108562113851,116.7500423,118.0646265,16.313195396666668,0.019373398400472686,16.29521582,16.33371253,20.56394422,0.0731535851865587,20.48356132,20.62661653,0.4779786206666667,0.012932626878725071,0.464376477,0.490117211,2463700,62.64982043070834,2463640,2463765,35517.333333333336,259.71009478519187,35224,35718,68543.66666666667,407.6399555163028,68073,68784,1.2432590103333334,8.61946206577251e-05,1.243201324,1.243358094,,,,,,,,,,,,,,,,,,,,
zb,OMP8,3,3,58.74,1.2480785231707157,57.31,59.61,57.759966283333334,0.8337856641794705,56.85597413,58.4988372,57.57762588,0.8338367730432494,56.67298315,58.31542914,41.685717509999996,0.5842407902999445,41.1385909,42.30107996,4.263875109,0.23561432660306253,4.045728743,4.513743296,10.464337353333335,0.12630988010438635,10.34117576,10.59357613,0.18060649433333334,0.0012707891710564538,0.17914217,0.181420637,1957871.3333333333,467.06031016704185,1957484,1958390,241823,518.7166856772587,241326,242361,477015,1054.830792117864,475797,477629,0.0019613657016666667,5.901631335184741e-07,0.00196098706,0.001962045701,,,,,,,,,,,,,,,,,,,,
zb,MPI2xOMP4,3,3,63.660000000000004,1.2174974332621813,62.49,64.92,63.587662646666665,1.0878191928719927,62.53129651,64.70441902,63.31791715666667,1.0844437607866964,62.26320511,64.42982869,42.88832637,1.3284252863301487,41.44254263,44.0550603,5.108306436,0.3878702399013475,4.67009597,5.407549136,13.43076155,0.19535874398262892,13.28300344,13.65225732,0.27346790866666665,0.006203029838819453,0.268241717,0.280322793,1958166,136.27545633752248,1958061,1958320,226886,5003.759886325482,221285,230915,441423,7222.559933984626,433105,446105,0.001957005979333333,5.331797882143624e-06,0.001951044496,0.001961318489,2.0579217886666665,0.23886611367376862,1.892944875,2.331836429,1.2048478336666666,0.17458900824216922,1.05134494,1.394775992,1.0008454333333334,0.0007226292245088757,1.000172824,1.001609395,2.3333333333333335,0.5773502691896257,2,3,2.3333333333333335,0.5773502691896257,2,3
zb,MPI4xOMP2,3,3,67.71666666666667,0.17214335111567075,67.58,67.91,67.42094011666667,0.6895966911494344,66.89573051,68.2018689,66.87373303666666,0.6811834472294607,66.35584648,67.64537118,44.65965196333333,4.006281856762861,41.33593656,49.10808126,3.728479274,0.32655696191804856,3.43386687,4.079604263,24.392794076666668,0.8400453507876141,23.57776483,25.2557993,0.5491440656666666,0.011667869126150561,0.537936899,0.561223661,1959629.3333333333,351.81292377246933,1959318,1960011,222185.33333333334,4045.186563476811,217956,226017,429424.3333333333,5677.734260542081,424454,435612,0.0019459436333333334,2.1666564837694195e-06,0.001943456231,0.001947419762,2.469087415,0.3431056543086141,2.079828253,2.727587714,1.2531943266666667,0.042976281961222655,1.20511757,1.287883053,1.001315473,0.00013705097760689962,1.001235076,1.001473719,2,0.0,2,2,2,0.0,2,2
zb,MPI8,3,3,79.80666666666667,1.5902620329157462,78.2,81.38,81.33247087666666,2.1690974161656973,78.87242265,82.97005559,80.06110082333333,2.1792605426168286,77.5897211,81.70714201,54.00775285666666,4.140760177017048,49.29770603,57.0751589,6.506158083333333,0.578249803633925,5.986395256,7.129024053,33.73456127,3.187697380397217,30.2890735,36.57885547,1.2913422076666667,0.005625486622492454,1.285650153,1.296898675,1958374.6666666667,386.8750875067214,1957998,1958771,206644.66666666666,4195.46306542357,203770,211459,391782.3333333333,7545.704362969261,385620,400198,0.0019360627796666666,3.371324428525412e-06,0.00193262329,0.001939361531,2.393057181,0.5420455412721653,1.801981371,2.866879715,1.3423787026666667,0.05655169023026855,1.292371111,1.403749025,1.0020027666666667,0.0002555814338647418,1.001775471,1.002279431,2.3333333333333335,0.5773502691896257,2,3,2.3333333333333335,0.5773502691896257,2,3
zb,MPI8origin,3,3,114.8,1.2001666550941958,113.42,115.6,124.20866186666667,0.6874480426550408,123.4197542,124.6792953,124.08600273333333,0.6925859083489225,123.2912403,124.5604537,90.73155750333333,0.5723379238284159,90.13243384,91.27269505,11.230207393333332,0.05525828317689271,11.16642767,11.26370599,28.688789246666666,0.31841769935387987,28.46219514,29.05284747,0.12927797633333332,0.0037567752766292013,0.126377053,0.133521616,1958023.3333333333,369.8950301549527,1957683,1958417,240788,313.7451194839531,240522,241134,475114.6666666667,801.6871792247481,474445,476003,0.0019624558676666665,2.512474011017366e-07,0.001962212503,0.001962714318,,,,,,,,,,,,,,,,,,,,
