case,mode,rep,np,omp_threads,start,end,exit,log,controlDict,expected_iterations,log_exists,bad_markers,end_main,real,user,sys,iterations,collisions,candidates,particles,stuck,total_energy,move_collide,move,build_occ,collision_phase,post,full_evolve,openmp_enabled,openmp_threads,migration_calls,migration_wall,dlb_checks,dlb_rebalances,dlb_triggered,dlb_wall_max,dlb_check_max,parmetis_max,dlb_migration_max,particles_rank_min,particles_rank_max,particles_rank_ratio,rank_wall_steps,rank_wall_min,rank_wall_max,rank_wall_ratio,correctness_ok
ourmesh,OMP8,1,1,8,2026-06-10T23:31:33+08:00,2026-06-10T23:32:34+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_OMP8_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_OMP8_rep1_controlDict,500,True,,True,61.1,464.1,4.69,500,35533,68886,2463608,0,1.242834606,59.22695408,49.01009102,6.268423978,3.408421375,0.630372192,59.86063014,1,8,,,,,,,,,,,,,,,,,True
ourmesh,MPI2xOMP4,1,2,4,2026-06-10T23:32:34+08:00,2026-06-10T23:33:46+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_MPI2xOMP4_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_MPI2xOMP4_rep1_controlDict,500,True,,True,71.13,513.26,9.7,500,35680,68757,2463659,0,1.243011452,66.08019966,53.53334924,7.339089045,15.79927898,1.081107807,67.15342865,1,4,53,1.039661777,500,3,3,1.119999763,0.012973516,1.045568626,0.061193794,1140482.0,1323177.0,1.160191042,500,241.26,241.3,1.000165796,True
ourmesh,MPI4xOMP2,1,4,2,2026-06-10T23:33:46+08:00,2026-06-10T23:34:56+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_MPI4xOMP2_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_MPI4xOMP2_rep1_controlDict,500,True,,True,70.64,516.1,18.0,500,35631,68107,2463788,0,1.242538077,65.31565528,52.0842384,6.252322504,16.93940874,2.212794879,67.52416924,1,2,52,2.216299136,500,2,2,0.46545514,0.017589702,0.249043214,0.200295231,547445.0,675531.0,1.233970536,500,120.05,120.24,1.001582674,True
ourmesh,MPI8,1,8,1,2026-06-10T23:34:56+08:00,2026-06-10T23:36:36+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_MPI8_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_MPI8_rep1_controlDict,500,True,,True,100.01,740.27,50.26,500,34712,66086,2463782,0,1.241787121,91.56054104,66.64579753,10.06444489,34.09624491,5.073526222,96.44670989,0,1,53,3.247835655,500,2,2,0.389314576,0.035693465,0.133074383,0.239695059,287329.0,341750.0,1.189403088,500,84.26,84.51,1.002967007,True
zb,OMP8,1,1,8,2026-06-10T23:36:36+08:00,2026-06-10T23:37:34+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_OMP8_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_OMP8_rep1_controlDict,300,True,,True,57.31,445.08,2.18,300,242361,477619,1957484,0,0.001961064344,56.67298315,41.1385909,4.045728743,10.34117576,0.181420637,56.85597413,1,8,,,,,,,,,,,,,,,,,True
zb,MPI2xOMP4,1,2,4,2026-06-10T23:37:34+08:00,2026-06-10T23:38:37+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI2xOMP4_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI2xOMP4_rep1_controlDict,300,True,,True,63.57,472.22,7.61,300,221285,433105,1958117,0,0.001951044496,62.26320511,41.44254263,4.67009597,13.28300344,0.268241717,62.53129651,1,4,33,2.331836429,300,3,3,1.325129877,0.098837074,0.446174692,0.785074024,810642.0,1130664.0,1.394775992,300,225.44,225.61,1.000754081,True
zb,MPI4xOMP2,1,4,2,2026-06-10T23:38:37+08:00,2026-06-10T23:39:45+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI4xOMP2_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI4xOMP2_rep1_controlDict,300,True,,True,67.66,493.16,24.5,300,222583,428207,1959559,0,0.001943456231,66.35584648,43.53493807,3.43386687,23.57776483,0.537936899,66.89573051,1,2,33,2.079828253,300,2,2,0.619495607,0.007763448,0.166795015,0.481859156,438802.0,528808.0,1.20511757,300,121.45,121.6,1.001235076,True
zb,MPI8,1,8,1,2026-06-10T23:39:45+08:00,2026-06-10T23:41:03+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI8_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI8_rep1_controlDict,300,True,,True,78.2,571.67,58.87,300,203770,389529,1957998,0,0.001936203518,77.5897211,49.29770603,5.986395256,30.2890735,1.285650153,78.87242265,0,1,33,2.510310457,300,2,2,0.459928421,0.011189829,0.124019385,0.336625042,215416.0,302390.0,1.403749025,300,71.67,71.81,1.001953398,True
ourmesh,OMP8,2,1,8,2026-06-10T23:41:03+08:00,2026-06-10T23:42:05+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_OMP8_rep2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_OMP8_rep2_controlDict,500,True,,True,61.51,457.86,3.52,500,35560,68606,2463681,0,1.243094286,58.58108834,47.74108455,6.754894827,3.537174565,0.642693085,59.22725574,1,8,,,,,,,,,,,,,,,,,True
ourmesh,MPI2xOMP4,2,2,4,2026-06-10T23:42:05+08:00,2026-06-10T23:43:16+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_MPI2xOMP4_rep2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_MPI2xOMP4_rep2_controlDict,500,True,,True,71.18,516.99,9.96,500,35353,68472,2463734,0,1.243191797,66.99241291,54.66962939,7.490871217,17.54501039,1.075588138,68.05572893,1,4,52,1.017768599,500,2,2,0.675152803,0.01278096,0.649418911,0.017789317,1135682.0,1320738.0,1.162947022,500,244.64,244.82,1.000735775,True
