case	mode	rep	np	omp_threads	start	end	exit	log	controlDict
ourmesh	OMP8	1	1	8	2026-06-10T23:31:33+08:00	2026-06-10T23:32:34+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_OMP8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_OMP8_rep1_controlDict
ourmesh	MPI2xOMP4	1	2	4	2026-06-10T23:32:34+08:00	2026-06-10T23:33:46+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_MPI2xOMP4_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_MPI2xOMP4_rep1_controlDict
ourmesh	MPI4xOMP2	1	4	2	2026-06-10T23:33:46+08:00	2026-06-10T23:34:56+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_MPI4xOMP2_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_MPI4xOMP2_rep1_controlDict
ourmesh	MPI8	1	8	1	2026-06-10T23:34:56+08:00	2026-06-10T23:36:36+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_MPI8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_MPI8_rep1_controlDict
zb	OMP8	1	1	8	2026-06-10T23:36:36+08:00	2026-06-10T23:37:34+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_OMP8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_OMP8_rep1_controlDict
zb	MPI2xOMP4	1	2	4	2026-06-10T23:37:34+08:00	2026-06-10T23:38:37+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI2xOMP4_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI2xOMP4_rep1_controlDict
zb	MPI4xOMP2	1	4	2	2026-06-10T23:38:37+08:00	2026-06-10T23:39:45+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI4xOMP2_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI4xOMP2_rep1_controlDict
zb	MPI8	1	8	1	2026-06-10T23:39:45+08:00	2026-06-10T23:41:03+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI8_rep1_controlDict
ourmesh	OMP8	2	1	8	2026-06-10T23:41:03+08:00	2026-06-10T23:42:05+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_OMP8_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_OMP8_rep2_controlDict
ourmesh	MPI2xOMP4	2	2	4	2026-06-10T23:42:05+08:00	2026-06-10T23:43:16+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_MPI2xOMP4_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_MPI2xOMP4_rep2_controlDict
