case,mode,rep,np,omp_threads,start,end,exit,log,controlDict,expected_iterations,log_exists,bad_markers,end_main,real,user,sys,iterations,collisions,candidates,particles,stuck,total_energy,move_collide,move,build_occ,collision_phase,post,full_evolve,openmp_enabled,openmp_threads,migration_calls,migration_wall,dlb_checks,dlb_rebalances,dlb_triggered,dlb_wall_max,dlb_check_max,parmetis_max,dlb_migration_max,particles_rank_min,particles_rank_max,particles_rank_ratio,rank_wall_steps,rank_wall_min,rank_wall_max,rank_wall_ratio,correctness_ok
ourmesh,OMP8,1,1,8,2026-06-10T02:30:41+08:00,2026-06-10T02:32:06+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_OMP8_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_OMP8_rep1_controlDict,500,True,,True,85.05,640.02,6.85,500,35837,68792,2463551,0,1.242962332,54.23118476,44.93301826,5.72846506,3.081835877,23.86117255,78.09726067,1,8,,,,,,,,,,,,,,,,,True
ourmesh,MPI2xOMP4,1,2,4,2026-06-10T02:32:06+08:00,2026-06-10T02:33:38+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_MPI2xOMP4_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_MPI2xOMP4_rep1_controlDict,500,True,,True,91.64,680.07,13.5,500,35520,68220,2463874,0,1.243144591,64.94213739,47.57120458,6.385004308,18.42944002,23.18904105,83.85825907,1,4,54,1.52746745,500,3,3,1.488189368,0.011184388,0.984902197,0.617737002,987198.0,1469307.0,1.488360997,500,236.54,253.81,1.073010907,True
ourmesh,MPI4xOMP2,1,4,2,2026-06-10T02:33:38+08:00,2026-06-10T02:35:10+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_MPI4xOMP2_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_MPI4xOMP2_rep1_controlDict,500,True,,True,92.31,677.15,28.54,500,35440,65574,2463827,0,1.241972034,66.88669968,45.31952598,5.546876019,22.8976486,23.20061428,84.03896938,1,2,54,2.450176966,500,3,3,1.197303607,0.01751326,0.445031505,0.850634328,579662.0,697598.0,1.203456497,500,118.71,130.96,1.103192654,True
ourmesh,MPI8,1,8,1,2026-06-10T02:35:10+08:00,2026-06-10T02:36:59+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_MPI8_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_MPI8_rep1_controlDict,500,True,,True,108.74,779.32,85.22,500,34016,60922,2463714,0,1.240253853,84.49706928,52.27992376,5.320976037,37.99262475,17.21275623,97.81048912,0,1,55,2.10744267,500,4,4,0.847186934,0.023720382,0.280976056,0.593852062,190258.0,438088.0,2.302599628,500,79.65,83.68,1.050596359,True
zb,OMP8,1,1,8,2026-06-10T02:36:59+08:00,2026-06-10T02:38:10+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_OMP8_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_OMP8_rep1_controlDict,300,True,,True,71.61,550.28,3.12,300,242147,477317,1957970,0,0.001961775202,54.59781592,36.92835696,7.084044616,9.438706636,11.28456304,65.88513463,1,8,,,,,,,,,,,,,,,,,True
zb,MPI2xOMP4,1,2,4,2026-06-10T02:38:11+08:00,2026-06-10T02:39:29+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI2xOMP4_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI2xOMP4_rep1_controlDict,300,True,,True,78.38,594.19,9.18,300,227069,441198,1958017,0,0.001958247968,62.57007948,41.09837483,10.45876265,14.85665416,11.09014775,71.85937028,1,4,33,2.296496312,300,4,4,0.733881763,0.06542412,0.578886452,0.125452648,890974.0,1050321.0,1.178845847,300,239.81,246.54,1.028063884,True
zb,MPI4xOMP2,1,4,2,2026-06-10T02:39:29+08:00,2026-06-10T02:40:48+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI4xOMP2_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI4xOMP2_rep1_controlDict,300,True,,True,79.38,588.5,27.25,300,226205,439909,1959525,0,0.001951600829,64.97889474,39.74271855,7.15205339,23.06877689,11.06409386,74.34856485,1,2,33,1.554571876,300,2,2,0.513072592,0.08557207,0.148559662,0.313647053,368948.0,609647.0,1.652392749,300,124.63,127.97,1.026799326,True
zb,MPI8,1,8,1,2026-06-10T02:40:48+08:00,2026-06-10T02:42:48+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI8_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI8_rep1_controlDict,300,True,,True,119.62,826.02,127.15,300,234393,459863,1958785,0,0.001958225981,100.6319294,55.16788097,17.18169239,62.79774636,16.7126167,113.3667301,0,1,33,3.358955383,300,2,2,1.095594507,0.623588373,0.122393079,0.362613562,186474.0,298375.0,1.60008902,300,95.77,99.61,1.040096063,True
ourmesh,OMP8,2,1,8,2026-06-10T02:42:48+08:00,2026-06-10T02:44:18+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_OMP8_rep2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_OMP8_rep2_controlDict,500,True,,True,89.67,680.16,6.9,500,35490,68684,2463589,0,1.242996387,57.49075593,47.33885173,6.290161512,3.334890205,25.39968791,82.89524975,1,8,,,,,,,,,,,,,,,,,True
ourmesh,MPI2xOMP4,2,2,4,2026-06-10T02:44:18+08:00,2026-06-10T02:45:48+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_MPI2xOMP4_rep2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_MPI2xOMP4_rep2_controlDict,500,True,,True,90.4,674.04,11.31,500,35352,68105,2463794,0,1.242817881,62.77041936,44.39921874,6.833512436,12.54853161,22.29787675,82.76715213,1,4,53,1.786022169,500,4,4,1.537134697,0.016276194,1.354781681,0.339942004,1114271.0,1342389.0,1.204723985,500,235.0,244.51,1.040468085,True
