case	mode	rep	np	omp_threads	start	end	exit	log	controlDict
ourmesh	OMP8	1	1	8	2026-06-10T02:30:41+08:00	2026-06-10T02:32:06+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_OMP8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_OMP8_rep1_controlDict
ourmesh	MPI2xOMP4	1	2	4	2026-06-10T02:32:06+08:00	2026-06-10T02:33:38+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_MPI2xOMP4_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_MPI2xOMP4_rep1_controlDict
ourmesh	MPI4xOMP2	1	4	2	2026-06-10T02:33:38+08:00	2026-06-10T02:35:10+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_MPI4xOMP2_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_MPI4xOMP2_rep1_controlDict
ourmesh	MPI8	1	8	1	2026-06-10T02:35:10+08:00	2026-06-10T02:36:59+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_MPI8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_MPI8_rep1_controlDict
zb	OMP8	1	1	8	2026-06-10T02:36:59+08:00	2026-06-10T02:38:10+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_OMP8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_OMP8_rep1_controlDict
zb	MPI2xOMP4	1	2	4	2026-06-10T02:38:11+08:00	2026-06-10T02:39:29+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI2xOMP4_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI2xOMP4_rep1_controlDict
zb	MPI4xOMP2	1	4	2	2026-06-10T02:39:29+08:00	2026-06-10T02:40:48+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI4xOMP2_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI4xOMP2_rep1_controlDict
zb	MPI8	1	8	1	2026-06-10T02:40:48+08:00	2026-06-10T02:42:48+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI8_rep1_controlDict
ourmesh	OMP8	2	1	8	2026-06-10T02:42:48+08:00	2026-06-10T02:44:18+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_OMP8_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_OMP8_rep2_controlDict
ourmesh	MPI2xOMP4	2	2	4	2026-06-10T02:44:18+08:00	2026-06-10T02:45:48+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_MPI2xOMP4_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_MPI2xOMP4_rep2_controlDict
