case,mode,rep,np,omp_threads,start,end,exit,log,controlDict,expected_iterations,log_exists,bad_markers,end_main,real,user,sys,iterations,collisions,candidates,particles,stuck,total_energy,move_collide,move,build_occ,collision_phase,post,full_evolve,openmp_enabled,openmp_threads,migration_calls,migration_wall,dlb_checks,dlb_rebalances,dlb_triggered,dlb_wall_max,dlb_check_max,parmetis_max,dlb_migration_max,particles_rank_min,particles_rank_max,particles_rank_ratio,rank_wall_steps,rank_wall_min,rank_wall_max,rank_wall_ratio,correctness_ok
zb,OMP8,1,1,8,2026-06-17T23:54:34+08:00,2026-06-17T23:55:29+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_OMP8_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_OMP8_rep1_controlDict,300,True,,True,55.43,417.58,2.9,300,242656,477841,1958123,0,0.001961431111,50.28762811,36.9312694,3.704723194,8.636531482,0.168499595,50.45719532,1,8,,,,,,,,,,,,,,,,,True
zb,MPI2xOMP4,1,2,4,2026-06-17T23:55:30+08:00,2026-06-17T23:56:28+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI2xOMP4_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI2xOMP4_rep1_controlDict,300,True,,True,58.76,422.68,6.68,300,14497,22829,1958110,0,0.001961003027,52.74288603,38.11409696,4.481433485,6.968959074,0.182480564,52.91720393,1,4,32,2.080921533,300,1,1,1.921346341,1.205474258,0.139760306,0.624006572,855032.0,1086152.0,1.270305673,300,185.38,201.73,1.088197217,True
zb,MPI4xOMP2,1,4,2,2026-06-17T23:56:29+08:00,2026-06-17T23:57:29+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI4xOMP2_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI4xOMP2_rep1_controlDict,300,True,,True,60.58,419.96,20.9,300,7349,11196,1960120,0,0.001961766201,53.67625755,40.20313392,3.485234577,8.863063231,0.20874544,53.87618965,1,2,34,2.287972641,300,3,3,3.51495557,3.014397486,0.194873208,0.359685666,445520.0,538470.0,1.208632609,300,80.82,102.15,1.263919822,True
zb,MPI8,1,8,1,2026-06-17T23:57:29+08:00,2026-06-17T23:58:36+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI8_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI8_rep1_controlDict,300,True,,True,66.82,479.37,51.28,300,29949,52287,1960003,0,0.001956860093,58.27740051,47.31619591,4.355721724,10.61874462,0.202776518,58.47378665,0,1,36,3.024363212,300,5,5,5.115500483,4.404643347,0.192328051,0.585265766,220370.0,270454.0,1.227272315,300,41.23,54.99,1.33373757,True
zb,MPI8origin,1,8,1,2026-06-17T23:58:36+08:00,2026-06-18T00:00:24+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI8origin_rep1.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI8origin_rep1_controlDict,300,True,,True,107.61,766.67,92.84,300,240795,474577,1957861,0,0.001962205515,107.7414907,79.94999668,9.898054286,23.5839556,0.115022951,107.848463,0,1,,,,,,,,,,,,,,,,,True
zb,OMP8,2,1,8,2026-06-18T00:00:24+08:00,2026-06-18T00:01:19+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_OMP8_rep2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_OMP8_rep2_controlDict,300,True,,True,55.07,418.68,2.21,300,242894,479744,1957922,0,0.001960918276,50.47563413,36.86317028,3.887311675,8.699886146,0.164732418,50.64163356,1,8,,,,,,,,,,,,,,,,,True
zb,MPI2xOMP4,2,2,4,2026-06-18T00:01:19+08:00,2026-06-18T00:02:18+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI2xOMP4_rep2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI2xOMP4_rep2_controlDict,300,True,,True,59.21,425.56,6.9,300,14013,22291,1957570,0,0.001960767973,53.40316223,38.83495931,4.499964027,6.994106095,0.171703393,53.56963184,1,4,32,1.931351662,300,1,1,1.735178899,1.135639022,0.168173077,0.505943451,837235.0,1103724.0,1.318296536,300,185.36,203.81,1.099536038,True
zb,MPI4xOMP2,2,4,2,2026-06-18T00:02:18+08:00,2026-06-18T00:03:20+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI4xOMP2_rep2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI4xOMP2_rep2_controlDict,300,True,,True,61.39,430.34,19.02,300,7777,11354,1959699,0,0.001960877186,54.0902813,38.13297835,4.261449325,11.71698291,0.181508589,54.2711033,1,2,33,1.966695092,300,2,2,3.062981221,2.495734327,0.150084742,0.451648142,464061.0,525690.0,1.132803662,300,88.09,103.24,1.171983199,True
zb,MPI8,2,8,1,2026-06-18T00:03:20+08:00,2026-06-18T00:04:31+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI8_rep2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI8_rep2_controlDict,300,True,,True,71.22,512.37,57.51,300,39698,76377,1960034,0,0.00195598117,64.36797754,45.66641244,5.510953768,9.538047588,0.187193278,64.54611809,0,1,36,2.165261656,300,5,5,6.090988302,5.437974898,0.165174898,0.532115203,215026.0,274556.0,1.276850241,300,40.61,61.56,1.515882787,True
zb,MPI8origin,2,8,1,2026-06-18T00:04:31+08:00,2026-06-18T00:06:20+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI8origin_rep2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI8origin_rep2_controlDict,300,True,,True,108.32,766.74,93.81,300,241402,475234,1958153,0,0.001962373623,108.0090237,79.98484686,9.903464808,23.82443213,0.11807439,108.1180454,0,1,,,,,,,,,,,,,,,,,True
