case	mode	rep	np	omp_threads	start	end	exit	log	controlDict
zb	OMP8	1	1	8	2026-06-17T23:54:34+08:00	2026-06-17T23:55:29+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_OMP8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_OMP8_rep1_controlDict
zb	MPI2xOMP4	1	2	4	2026-06-17T23:55:30+08:00	2026-06-17T23:56:28+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI2xOMP4_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI2xOMP4_rep1_controlDict
zb	MPI4xOMP2	1	4	2	2026-06-17T23:56:29+08:00	2026-06-17T23:57:29+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI4xOMP2_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI4xOMP2_rep1_controlDict
zb	MPI8	1	8	1	2026-06-17T23:57:29+08:00	2026-06-17T23:58:36+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI8_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI8_rep1_controlDict
zb	MPI8origin	1	8	1	2026-06-17T23:58:36+08:00	2026-06-18T00:00:24+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI8origin_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI8origin_rep1_controlDict
zb	OMP8	2	1	8	2026-06-18T00:00:24+08:00	2026-06-18T00:01:19+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_OMP8_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_OMP8_rep2_controlDict
zb	MPI2xOMP4	2	2	4	2026-06-18T00:01:19+08:00	2026-06-18T00:02:18+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI2xOMP4_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI2xOMP4_rep2_controlDict
zb	MPI4xOMP2	2	4	2	2026-06-18T00:02:18+08:00	2026-06-18T00:03:20+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI4xOMP2_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI4xOMP2_rep2_controlDict
zb	MPI8	2	8	1	2026-06-18T00:03:20+08:00	2026-06-18T00:04:31+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI8_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI8_rep2_controlDict
zb	MPI8origin	2	8	1	2026-06-18T00:04:31+08:00	2026-06-18T00:06:20+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/logs/zb_MPI8origin_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_current_mpi8cfg_repeat3_20260617/controlDicts/zb_MPI8origin_rep2_controlDict
