group	moveSchedule	moveChunk	collisionSchedule	collisionChunk	exitCode	elapsedSeconds	log	controlDict
moveSweep	static	8	dynamic	8	0	85	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_moveSweep_move-static-8_coll-dynamic-8_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.moveSweep_move-static-8_coll-dynamic-8
moveSweep	static	16	dynamic	8	0	83	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_moveSweep_move-static-16_coll-dynamic-8_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.moveSweep_move-static-16_coll-dynamic-8
moveSweep	static	32	dynamic	8	0	83	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_moveSweep_move-static-32_coll-dynamic-8_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.moveSweep_move-static-32_coll-dynamic-8
moveSweep	static	64	dynamic	8	0	84	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_moveSweep_move-static-64_coll-dynamic-8_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.moveSweep_move-static-64_coll-dynamic-8
moveSweep	static	128	dynamic	8	0	82	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_moveSweep_move-static-128_coll-dynamic-8_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.moveSweep_move-static-128_coll-dynamic-8
moveSweep	static	256	dynamic	8	0	81	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_moveSweep_move-static-256_coll-dynamic-8_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.moveSweep_move-static-256_coll-dynamic-8
moveSweep	dynamic	8	dynamic	8	0	88	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_moveSweep_move-dynamic-8_coll-dynamic-8_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.moveSweep_move-dynamic-8_coll-dynamic-8
moveSweep	dynamic	16	dynamic	8	0	87	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_moveSweep_move-dynamic-16_coll-dynamic-8_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.moveSweep_move-dynamic-16_coll-dynamic-8
moveSweep	dynamic	32	dynamic	8	0	87	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_moveSweep_move-dynamic-32_coll-dynamic-8_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.moveSweep_move-dynamic-32_coll-dynamic-8
moveSweep	dynamic	64	dynamic	8	0	85	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_moveSweep_move-dynamic-64_coll-dynamic-8_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.moveSweep_move-dynamic-64_coll-dynamic-8
