group	moveSchedule	moveChunk	collisionSchedule	collisionChunk	exitCode	elapsedSeconds	real	fullEvolveWall	moveOnly	buildCellOccupancy	collisionPhase	postFieldsOutput	moveCpu	buildCpu	collisionCpu	postCpu	finalCollisions	iteration300	logBase
moveSweep	static	8	dynamic	8	0	85	84.78	80.29099797	46.73535309	7.939946204	10.43405242	13.92694827	344.94	57.75	77.1	102.71	242573	1	log.codex_zb_moveSweep_move-static-8_coll-dynamic-8_300step_20260606
moveSweep	static	16	dynamic	8	0	83	83.40	79.28067769	45.41806557	8.232832785	10.52402565	13.84853045	334.54	59.99	77.76	102.02	241667	1	log.codex_zb_moveSweep_move-static-16_coll-dynamic-8_300step_20260606
moveSweep	static	32	dynamic	8	0	83	82.61	78.43745217	44.35011103	8.320832266	10.51031655	14.00707626	327.4	60.52	77.61	103.34	242393	1	log.codex_zb_moveSweep_move-static-32_coll-dynamic-8_300step_20260606
moveSweep	static	64	dynamic	8	0	84	84.64	78.06102765	43.85303096	8.335356222	10.51135249	14.09580889	322.68	60.73	77.63	103.68	241503	1	log.codex_zb_moveSweep_move-static-64_coll-dynamic-8_300step_20260606
moveSweep	static	128	dynamic	8	0	82	81.89	77.5024661	43.22449083	8.755019848	10.43021164	13.86151988	318.21	63.52	77.06	102.59	241328	1	log.codex_zb_moveSweep_move-static-128_coll-dynamic-8_300step_20260606
moveSweep	static	256	dynamic	8	0	81	80.89	77.11135257	42.88355957	8.49646293	10.50747748	13.97411255	316.36	61.85	77.49	102.56	242836	1	log.codex_zb_moveSweep_move-static-256_coll-dynamic-8_300step_20260606
moveSweep	dynamic	8	dynamic	8	0	88	87.33	83.06845838	48.40619232	8.836215193	10.60091996	13.95375766	357.43	63.99	78.44	103.16	242547	1	log.codex_zb_moveSweep_move-dynamic-8_coll-dynamic-8_300step_20260606
moveSweep	dynamic	16	dynamic	8	0	87	87.59	80.75199882	46.7230456	8.442430365	10.47823073	13.84347935	344.93	61.55	77.28	102.24	242411	1	log.codex_zb_moveSweep_move-dynamic-16_coll-dynamic-8_300step_20260606
moveSweep	dynamic	32	dynamic	8	0	87	87.01	82.83674084	48.17373349	8.582965528	10.61897487	14.19478895	355.57	62.19	78.49	104.69	241733	1	log.codex_zb_moveSweep_move-dynamic-32_coll-dynamic-8_300step_20260606
moveSweep	dynamic	64	dynamic	8	0	85	84.87	81.06350078	47.11674827	8.208773984	10.49659521	13.9815335	347.88	59.64	77.56	103.32	242303	1	log.codex_zb_moveSweep_move-dynamic-64_coll-dynamic-8_300step_20260606
moveSweep	dynamic	128	dynamic	8	0	82	82.03	78.71659021	45.22702633	8.125458627	10.36533293	13.7609441	332.93	59.07	76.58	101.61	242282	1	log.codex_zb_moveSweep_move-dynamic-128_coll-dynamic-8_300step_20260606
moveSweep	dynamic	256	dynamic	8	0	83	82.23	79.01221285	45.26499047	8.286185276	10.4243984	13.80477814	334.16	60.04	77.15	101.99	241852	1	log.codex_zb_moveSweep_move-dynamic-256_coll-dynamic-8_300step_20260606
collisionSweep	static	64	static	8	0	83	82.97	76.86783591	42.18998927	8.138643928	11.5713453	13.73929511	311.44	59.26	85.49	101.28	242258	1	log.codex_zb_collisionSweep_move-static-64_coll-static-8_300step_20260606
collisionSweep	static	64	static	16	0	80	80.55	78.31582568	42.86002794	8.595644551	11.76955654	13.84713599	315.8	62.46	86.95	102.37	242306	1	log.codex_zb_collisionSweep_move-static-64_coll-static-16_300step_20260606
collisionSweep	static	64	static	32	0	84	83.26	77.40826851	42.38330788	8.064784944	11.82185272	13.90253912	313.02	58.46	87.38	102.72	241056	1	log.codex_zb_collisionSweep_move-static-64_coll-static-32_300step_20260606
collisionSweep	static	64	static	64	0	82	82.23	78.83915353	42.87104388	8.635456359	12.25675103	13.83279322	316.6	62.68	90.6	102.26	242438	1	log.codex_zb_collisionSweep_move-static-64_coll-static-64_300step_20260606
collisionSweep	static	64	static	128	0	82	82.44	78.97288225	42.61511125	8.512498083	12.87052694	13.73886599	314.44	61.91	94.94	101.43	241827	1	log.codex_zb_collisionSweep_move-static-64_coll-static-128_300step_20260606
collisionSweep	static	64	static	256	0	83	82.92	79.33333096	42.32312361	7.946598657	13.99113719	13.820889	311.63	57.68	103.54	102.18	242608	1	log.codex_zb_collisionSweep_move-static-64_coll-static-256_300step_20260606
collisionSweep	static	64	dynamic	8	0	82	81.17	75.45810589	42.06382167	7.970480739	10.35458841	13.81338429	310.59	57.87	76.4	102.15	241846	1	log.codex_zb_collisionSweep_move-static-64_coll-dynamic-8_300step_20260606
collisionSweep	static	64	dynamic	16	0	80	80.13	76.72571503	42.60142367	8.545208794	10.43977883	13.88888306	314.64	61.96	77.15	102.76	242441	1	log.codex_zb_collisionSweep_move-static-64_coll-dynamic-16_300step_20260606
collisionSweep	static	64	dynamic	32	0	79	79.58	76.17704143	42.35313915	8.199493522	10.54607559	13.8398956	312.77	59.49	77.95	102.32	242547	1	log.codex_zb_collisionSweep_move-static-64_coll-dynamic-32_300step_20260606
collisionSweep	static	64	dynamic	64	0	81	81.64	75.53186369	41.88465382	7.76569199	10.67298286	13.96667976	309.3	56.51	78.74	103.26	241995	1	log.codex_zb_collisionSweep_move-static-64_coll-dynamic-64_300step_20260606
collisionSweep	static	64	dynamic	128	0	80	80.18	76.65006902	42.31881036	8.295323981	10.89192718	13.88723708	311.97	60.18	80.42	102.71	242192	1	log.codex_zb_collisionSweep_move-static-64_coll-dynamic-128_300step_20260606
collisionSweep	static	64	dynamic	256	0	81	80.76	77.21817424	42.45125659	8.316535153	11.44430031	13.7718788	312.18	60.51	84.46	101.78	241683	1	log.codex_zb_collisionSweep_move-static-64_coll-dynamic-256_300step_20260606
